Team,FG%,TRB,AST,TOV,x,y
Atlanta Hawks,0.451,3780,2118,1397,-494,0.354
Boston Celtics,0.465,3653,2155,1052,364,0.598
Brooklyn Nets,0.449,3819,1954,1236,-6,0.512
Charlotte Hornets,0.448,3592,1905,1001,-90,0.476
Chicago Bulls,0.453,3517,1796,1159,-690,0.268
Cleveland Cavaliers,0.444,3498,1698,1106,-788,0.232
Dallas Mavericks,0.447,3716,1918,1167,-105,0.402
Denver Nuggets,0.466,3804,2245,1102,324,0.659
Detroit Pistons,0.44,3688,1845,1135,-20,0.5
Golden State Warriors,0.491,3787,2413,1169,530,0.695
Houston Rockets,0.449,3449,1741,1094,391,0.646
Indiana Pacers,0.475,3528,2128,1122,273,0.585
Los Angeles Clippers,0.471,3732,1970,1193,70,0.585
Los Angeles Lakers,0.47,3820,2096,1284,-141,0.451
Memphis Grizzlies,0.45,3426,1963,1147,-213,0.402
Miami Heat,0.45,3800,1991,1208,-19,0.476
Milwaukee Bucks,0.476,4078,2136,1137,727,0.732
Minnesota Timberwolves,0.456,3673,2018,1074,-123,0.439
New Orleans Pelicans,0.473,3878,2216,1215,-109,0.402
New York Knicks,0.433,3668,1646,1151,-755,0.207
Oklahoma City Thunder,0.454,3942,1917,1145,279,0.598
Orlando Magic,0.454,3724,2095,1082,58,0.512
Philadelphia 76ers,0.471,3917,2207,1223,221,0.622
Phoenix Suns,0.459,3311,1957,1279,-766,0.232
Portland Trail Blazers,0.467,3935,1887,1135,344,0.646
Sacramento Kings,0.464,3725,2083,1095,-92,0.476
San Antonio Spurs,0.478,3667,2013,992,138,0.585
Toronto Raptors,0.474,3706,2085,1150,499,0.707
Utah Jazz,0.468,3801,2133,1240,431,0.61
Washington Wizards,0.468,3473,2154,1154,-238,0.39